Name,Country,Latitude,Longitude
Amsterdam,NL,52.37403,4.88969
Ankara,TR,39.91987,32.85427
Athens,GR,37.97945,23.71622
Bangkok,TH,13.75,100.51667
Beijing,CN,39.9075,116.39723
Beirut,LB,33.88894,35.49442
Belgrade,RS,44.80401,20.46513
Berlin,DE,52.52437,13.41053
Brussels,BE,50.85045,4.34878
Budapest,HU,47.49801,19.03991
Buenos Aires,AR,-34.61315,-58.37723
Cairo,EG,30.06263,31.24967
Canberra,AU,-35.28346,149.12807
Colombo,LK,6.93194,79.84778
Copenhagen,DK,55.67594,12.56553
Doha,QA,25.27932,51.52245
Dublin,IE,53.34399,-6.26719
Havana,CU,23.13302,-82.38304
Helsinki,FI,60.16952,24.93545
Hong Kong,HK,22.28552,114.15769
Jakarta,ID,-6.21462,106.84513
Kuala Lumpur,MY,3.1412,101.68653
Lisbon,PT,38.71667,-9.13333
London,GB,51.50853,-0.12574
Luxembourg,LU,49.61167,6.13
Macau,MO,22.20056,113.54611
Madrid,ES,40.4165,-3.70256
Mexico City,MX,19.42847,-99.12766
Monaco,MC,43.73333,7.41667
Moscow,RU,55.75222,37.61556
Nicosia,CY,35.16667,33.36667
Oslo,NO,59.91273,10.74609
Ottawa,CA,45.41117,-75.69812
Paris,FR,48.85341,2.3488
Roma,IT,41.89474,12.4839
Sarajevo,BA,43.84864,18.35644
Seoul,KR,37.56826,126.97783
Singapore,SG,1.28967,103.85007
Stockholm,SE,59.33258,18.0649
Tokyo,JP,35.61488,139.5813
Vatican City,VA,41.90236,12.45332
Victoria,SC,-4.61667,55.45
Vienna,AT,48.20849,16.37208
Warsaw,PL,52.22977,21.01178
"Washington, D. C.",US,38.89511,-77.03637
Wellington,NZ,-41.28664,174.77557
Zagreb,HR,45.81444,15.97798
